2026-04-11 11:59:26.092 | DEBUG    | chunker:chunk_by_sentence:240 | Sentence chunking: 3 chunks from 46 sentences
2026-04-11 11:59:26.092 | INFO     | pipeline:ingest_documents:186 | Generated 3 chunks using 'sentence' strategy
2026-04-11 11:59:31.645 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 11:59:31.646 | INFO     | embedder:embed_and_cache:121 | Loaded cached embeddings from C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\embeddings_cache\embeddings.npy
2026-04-11 11:59:31.646 | INFO     | pipeline:ingest_documents:212 | Computed embeddings: shape (3, 384)
2026-04-11 11:59:31.647 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 3 vectors, dim=384
2026-04-11 11:59:31.648 | INFO     | indexer:save:188 | Saved FAISS index (3 vectors) to C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\faiss_index\index.faiss
2026-04-11 11:59:31.649 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 3 chunks
2026-04-11 11:59:31.649 | INFO     | pipeline:ingest_documents:240 | Ingestion complete: 1 docs, 3 chunks in 5.89s
2026-04-11 11:59:31.650 | INFO     | retriever:retrieve:283 | Retrieving for query: 'Who developed Word2Vec?...'
2026-04-11 11:59:32.282 | DEBUG    | retriever:retrieve:289 | Dense: 3 results, BM25: 1 results
2026-04-11 11:59:32.282 | DEBUG    | retriever:retrieve:295 | Fused: 3 candidates for re-ranking
2026-04-11 11:59:40.421 | INFO     | retriever:_get_reranker:102 | Loaded cross-encoder: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-11 11:59:40.691 | INFO     | retriever:retrieve:300 | Retrieved 3 final passages
2026-04-11 11:59:40.691 | INFO     | answer_extractor:extract_answer:106 | Question type: WHO
2026-04-11 11:59:41.231 | INFO     | pipeline:ask:278 | Answer: confidence=0.939, source=sample_nlp_notes.txt, type=WHO
2026-04-11 11:59:41.235 | INFO     | document_loader:load_txt:120 | Loaded TXT: sample_nlp_notes.txt (6036 chars)
2026-04-11 11:59:41.236 | INFO     | document_loader:batch_load:211 | Batch loaded 1 document sections from 1 files
2026-04-11 11:59:41.236 | INFO     | pipeline:ingest_documents:159 | Loaded 1 document sections
2026-04-11 11:59:41.586 | DEBUG    | chunker:chunk_by_sentence:240 | Sentence chunking: 3 chunks from 46 sentences
2026-04-11 11:59:41.586 | INFO     | pipeline:ingest_documents:186 | Generated 3 chunks using 'sentence' strategy
2026-04-11 11:59:47.126 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 11:59:47.126 | INFO     | embedder:embed_and_cache:121 | Loaded cached embeddings from C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\embeddings_cache\embeddings.npy
2026-04-11 11:59:47.126 | INFO     | pipeline:ingest_documents:212 | Computed embeddings: shape (3, 384)
2026-04-11 11:59:47.127 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 3 vectors, dim=384
2026-04-11 11:59:47.128 | INFO     | indexer:save:188 | Saved FAISS index (3 vectors) to C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\faiss_index\index.faiss
2026-04-11 11:59:47.128 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 3 chunks
2026-04-11 11:59:47.128 | INFO     | pipeline:ingest_documents:240 | Ingestion complete: 1 docs, 3 chunks in 5.89s
2026-04-11 11:59:47.129 | INFO     | retriever:retrieve:283 | Retrieving for query: 'Who developed Word2Vec?...'
2026-04-11 11:59:47.765 | DEBUG    | retriever:retrieve:289 | Dense: 3 results, BM25: 1 results
2026-04-11 11:59:47.766 | DEBUG    | retriever:retrieve:295 | Fused: 3 candidates for re-ranking
2026-04-11 11:59:55.851 | INFO     | retriever:_get_reranker:102 | Loaded cross-encoder: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-11 11:59:56.118 | INFO     | retriever:retrieve:300 | Retrieved 3 final passages
2026-04-11 11:59:56.118 | INFO     | answer_extractor:extract_answer:106 | Question type: WHO
2026-04-11 11:59:56.671 | INFO     | pipeline:ask:278 | Answer: confidence=0.939, source=sample_nlp_notes.txt, type=WHO
2026-04-11 11:59:56.671 | INFO     | retriever:retrieve:283 | Retrieving for query: 'What is NER?...'
2026-04-11 11:59:56.701 | DEBUG    | retriever:retrieve:289 | Dense: 3 results, BM25: 2 results
2026-04-11 11:59:56.701 | DEBUG    | retriever:retrieve:295 | Fused: 3 candidates for re-ranking
2026-04-11 11:59:56.859 | INFO     | retriever:retrieve:300 | Retrieved 3 final passages
2026-04-11 11:59:56.860 | INFO     | answer_extractor:extract_answer:106 | Question type: DEFINE
2026-04-11 11:59:57.045 | INFO     | pipeline:ask:278 | Answer: confidence=0.981, source=sample_nlp_notes.txt, type=DEFINE
2026-04-11 11:59:57.048 | INFO     | document_loader:load_txt:120 | Loaded TXT: sample_nlp_notes.txt (6036 chars)
2026-04-11 11:59:57.048 | INFO     | document_loader:batch_load:211 | Batch loaded 1 document sections from 1 files
2026-04-11 11:59:57.048 | INFO     | pipeline:ingest_documents:159 | Loaded 1 document sections
2026-04-11 11:59:57.379 | DEBUG    | chunker:chunk_by_sentence:240 | Sentence chunking: 3 chunks from 46 sentences
2026-04-11 11:59:57.380 | INFO     | pipeline:ingest_documents:186 | Generated 3 chunks using 'sentence' strategy
2026-04-11 12:00:02.998 | INFO     | embedder:__init__:43 | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2 (dim=384)
2026-04-11 12:00:02.999 | INFO     | embedder:embed_and_cache:121 | Loaded cached embeddings from C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\embeddings_cache\embeddings.npy
2026-04-11 12:00:03.000 | INFO     | pipeline:ingest_documents:212 | Computed embeddings: shape (3, 384)
2026-04-11 12:00:03.000 | INFO     | indexer:build:81 | Built FAISS FlatIP index: 3 vectors, dim=384
2026-04-11 12:00:03.003 | INFO     | indexer:save:188 | Saved FAISS index (3 vectors) to C:\Users\ABHINAV TEJA\Downloads\NLP\iqas\models\faiss_index\index.faiss
2026-04-11 12:00:03.004 | INFO     | retriever:__init__:90 | Initialized HybridRetriever with 3 chunks
